"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"11004","STANDARD","GLEN OAKS","NY","PRIMARY",40.74,-73.71,"NA-US-NY-GLEN OAKS","false",6501,11118,309226934
"11005","STANDARD","FLORAL PARK","NY","PRIMARY",40.72,-73.70,"NA-US-NY-FLORAL PARK","false",1368,1772,25425497
"11351","STANDARD","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",,,
"11352","PO BOX","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",702,1014,14640103
"11354","STANDARD","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",24748,40706,674367066
"11355","STANDARD","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",40779,67548,932883770
"11356","STANDARD","COLLEGE POINT","NY","PRIMARY",40.78,-73.84,"NA-US-NY-COLLEGE POINT","false",10492,18183,357006630
"11357","STANDARD","WHITESTONE","NY","PRIMARY",40.79,-73.81,"NA-US-NY-WHITESTONE","false",19016,32492,892739822
"11358","STANDARD","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",17138,29599,707161835
"11359","STANDARD","BAYSIDE","NY","PRIMARY",40.79,-73.77,"NA-US-NY-BAYSIDE","false",,,
"11360","STANDARD","BAYSIDE","NY","PRIMARY",40.78,-73.78,"NA-US-NY-BAYSIDE","false",9896,16104,497101917
"11361","STANDARD","BAYSIDE","NY","PRIMARY",40.76,-73.77,"NA-US-NY-BAYSIDE","false",13394,22958,614151345
"11362","STANDARD","LITTLE NECK","NY","PRIMARY",40.76,-73.74,"NA-US-NY-LITTLE NECK","false",8653,14936,414862965
"11363","STANDARD","LITTLE NECK","NY","PRIMARY",40.76,-73.74,"NA-US-NY-LITTLE NECK","false",3461,6048,229168388
"11364","STANDARD","OAKLAND GARDENS","NY","PRIMARY",40.74,-73.75,"NA-US-NY-OAKLAND GARDENS","false",17156,29752,775994799
"11365","STANDARD","FRESH MEADOWS","NY","PRIMARY",40.73,-73.79,"NA-US-NY-FRESH MEADOWS","false",19436,33762,754228435
"11366","STANDARD","FRESH MEADOWS","NY","PRIMARY",40.73,-73.79,"NA-US-NY-FRESH MEADOWS","false",6485,11462,282014462
"11367","STANDARD","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",17596,30463,673540090
"11368","STANDARD","CORONA","NY","PRIMARY",40.74,-73.85,"NA-US-NY-CORONA","false",39840,67717,892353230
"11369","STANDARD","EAST ELMHURST","NY","PRIMARY",40.76,-73.88,"NA-US-NY-EAST ELMHURST","false",15176,25709,406478970
"11370","STANDARD","EAST ELMHURST","NY","PRIMARY",40.76,-73.88,"NA-US-NY-EAST ELMHURST","false",11821,20338,372205221
"11371","STANDARD","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",,,
"11372","STANDARD","JACKSON HEIGHTS","NY","PRIMARY",40.75,-73.88,"NA-US-NY-JACKSON HEIGHTS","false",33063,53879,1003649658
"11373","STANDARD","ELMHURST","NY","PRIMARY",40.72,-73.87,"NA-US-NY-ELMHURST","false",44846,75771,1129808721
"11374","STANDARD","REGO PARK","NY","PRIMARY",40.72,-73.86,"NA-US-NY-REGO PARK","false",21742,35181,883386123
"11375","STANDARD","FOREST HILLS","NY","PRIMARY",40.72,-73.84,"NA-US-NY-FOREST HILLS","false",35253,56345,1987025041
"11377","STANDARD","WOODSIDE","NY","PRIMARY",40.74,-73.90,"NA-US-NY-WOODSIDE","false",40501,66214,1195261041
"11378","STANDARD","MASPETH","NY","PRIMARY",40.72,-73.90,"NA-US-NY-MASPETH","false",15785,27038,600266428
"11379","STANDARD","MIDDLE VILLAGE","NY","PRIMARY",40.71,-73.88,"NA-US-NY-MIDDLE VILLAGE","false",16885,28507,769528918
"11380","PO BOX","ELMHURST","NY","PRIMARY",40.72,-73.87,"NA-US-NY-ELMHURST","false",,,
"11381","UNIQUE","FLUSHING","NY","PRIMARY",40.77,-73.84,"NA-US-NY-FLUSHING","false",,,
