"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"41166","STANDARD","QUINCY","KY","PRIMARY",38.63,-83.09,"NA-US-KY-QUINCY","false",254,521,6615993
"41557","STANDARD","RACCOON","KY","PRIMARY",37.49,-82.44,"NA-US-KY-RACCOON","false",688,1335,24233165
"40159","PO BOX","RADCLIFF","KY","PRIMARY",37.82,-85.94,"NA-US-KY-RADCLIFF","false",252,382,6564155
"40160","STANDARD","RADCLIFF","KY","PRIMARY",37.82,-85.94,"NA-US-KY-RADCLIFF","false",9749,17547,265254732
"40060","STANDARD","RAYWICK","KY","PRIMARY",37.55,-85.43,"NA-US-KY-RAYWICK","false",457,864,13805473
"41847","STANDARD","REDFOX","KY","PRIMARY",37.21,-82.94,"NA-US-KY-REDFOX","false",,,
"42451","STANDARD","REED","KY","PRIMARY",37.87,-87.37,"NA-US-KY-REED","false",354,662,10405510
"41559","STANDARD","REGINA","KY","PRIMARY",37.35,-82.37,"NA-US-KY-REGINA","false",297,575,8259835
"42638","STANDARD","REVELO","KY","PRIMARY",36.67,-84.47,"NA-US-KY-REVELO","false",,,
"42368","STANDARD","REYNOLDS STATION","KY","PRIMARY",37.69,-86.77,"NA-US-KY-REYNOLDS STATION","false",505,999,16816085
"40161","STANDARD","RHODELIA","KY","PRIMARY",38.00,-86.41,"NA-US-KY-RHODELIA","false",,,
"40475","STANDARD","RICHMOND","KY","PRIMARY",37.74,-84.29,"NA-US-KY-RICHMOND","false",21037,37798,743357736
"40476","PO BOX","RICHMOND","KY","PRIMARY",37.74,-84.29,"NA-US-KY-RICHMOND","false",647,1054,21309161
"40162","STANDARD","RINEYVILLE","KY","PRIMARY",37.75,-85.96,"NA-US-KY-RINEYVILLE","false",2472,4853,89602795
"41254","STANDARD","RIVER","KY","PRIMARY",37.86,-82.72,"NA-US-KY-RIVER","false",,,
"40979","STANDARD","ROARK","KY","PRIMARY",37.02,-83.51,"NA-US-KY-ROARK","false",,,
"42452","STANDARD","ROBARDS","KY","PRIMARY",37.67,-87.52,"NA-US-KY-ROBARDS","false",1047,2032,41156077
"41560","STANDARD","ROBINSON CREEK","KY","PRIMARY",37.32,-82.57,"NA-US-KY-ROBINSON CREEK","false",260,516,8256599
"42273","STANDARD","ROCHESTER","KY","PRIMARY",37.20,-86.89,"NA-US-KY-ROCHESTER","false",,,
"42274","STANDARD","ROCKFIELD","KY","PRIMARY",36.90,-86.55,"NA-US-KY-ROCKFIELD","false",1032,1951,35081431
"40759","STANDARD","ROCKHOLDS","KY","PRIMARY",36.82,-84.11,"NA-US-KY-ROCKHOLDS","false",914,1776,20307139
"41561","PO BOX","ROCKHOUSE","KY","PRIMARY",37.32,-82.45,"NA-US-KY-ROCKHOUSE","false",,,
"42369","STANDARD","ROCKPORT","KY","PRIMARY",37.33,-86.99,"NA-US-KY-ROCKPORT","false",,,
"42163","STANDARD","ROCKY HILL","KY","PRIMARY",37.06,-86.10,"NA-US-KY-ROCKY HILL","false",,,
"41365","STANDARD","ROGERS","KY","PRIMARY",37.74,-83.63,"NA-US-KY-ROGERS","false",,,
"42370","PO BOX","ROSINE","KY","PRIMARY",37.45,-86.75,"NA-US-KY-ROSINE","false",,,
"42275","STANDARD","ROUNDHILL","KY","PRIMARY",37.23,-86.45,"NA-US-KY-ROUNDHILL","false",343,662,9148667
"41367","STANDARD","ROWDY","KY","PRIMARY",37.41,-83.20,"NA-US-KY-ROWDY","false",,,
"41848","STANDARD","ROXANA","KY","PRIMARY",37.10,-82.94,"NA-US-KY-ROXANA","false",,,
"41464","STANDARD","ROYALTON","KY","PRIMARY",37.67,-83.02,"NA-US-KY-ROYALTON","false",,,
"41168","STANDARD","RUSH","KY","PRIMARY",38.29,-82.73,"NA-US-KY-RUSH","false",1208,2324,39908033
"41169","STANDARD","RUSSELL","KY","PRIMARY",38.51,-82.69,"NA-US-KY-RUSSELL","false",2609,4819,100180094
"42642","STANDARD","RUSSELL SPRINGS","KY","PRIMARY",37.05,-85.07,"NA-US-KY-RUSSELL SPRINGS","false",4991,9335,119137997
"42276","STANDARD","RUSSELLVILLE","KY","PRIMARY",36.83,-86.89,"NA-US-KY-RUSSELLVILLE","false",6113,11223,170024018
"42372","STANDARD","SACRAMENTO","KY","PRIMARY",37.41,-87.26,"NA-US-KY-SACRAMENTO","false",776,1452,22586781
"40370","STANDARD","SADIEVILLE","KY","PRIMARY",38.39,-84.53,"NA-US-KY-SADIEVILLE","false",1265,2433,49214240
"40061","PO BOX","SAINT CATHARINE","KY","PRIMARY",37.70,-85.27,"NA-US-KY-SAINT CATHARINE","false",,,
"42453","STANDARD","SAINT CHARLES","KY","PRIMARY",37.18,-87.55,"NA-US-KY-SAINT CHARLES","false",,,
"40062","STANDARD","SAINT FRANCIS","KY","PRIMARY",37.62,-85.46,"NA-US-KY-SAINT FRANCIS","false",,,
"41368","PO BOX","SAINT HELENS","KY","PRIMARY",37.57,-83.65,"NA-US-KY-SAINT HELENS","false",,,
"40063","PO BOX","SAINT MARY","KY","PRIMARY",37.58,-85.33,"NA-US-KY-SAINT MARY","false",,,
"42078","STANDARD","SALEM","KY","PRIMARY",37.26,-88.23,"NA-US-KY-SALEM","false",763,1447,21640714
"40371","STANDARD","SALT LICK","KY","PRIMARY",38.11,-83.61,"NA-US-KY-SALT LICK","false",1034,1966,27981192
"40372","STANDARD","SALVISA","KY","PRIMARY",37.91,-84.86,"NA-US-KY-SALVISA","false",1061,1993,36840212
"41465","STANDARD","SALYERSVILLE","KY","PRIMARY",37.74,-83.06,"NA-US-KY-SALYERSVILLE","false",3835,7733,112234659
"40481","STANDARD","SANDGAP","KY","PRIMARY",37.48,-84.09,"NA-US-KY-SANDGAP","false",,,
"41171","STANDARD","SANDY HOOK","KY","PRIMARY",38.09,-83.12,"NA-US-KY-SANDY HOOK","false",1419,2755,41945057
"41759","STANDARD","SASSAFRAS","KY","PRIMARY",37.22,-83.05,"NA-US-KY-SASSAFRAS","false",,,
"40982","STANDARD","SCALF","KY","PRIMARY",36.91,-83.70,"NA-US-KY-SCALF","false",,,
"42553","STANDARD","SCIENCE HILL","KY","PRIMARY",37.17,-84.63,"NA-US-KY-SCIENCE HILL","false",2144,4154,56574583
"42164","STANDARD","SCOTTSVILLE","KY","PRIMARY",36.74,-86.19,"NA-US-KY-SCOTTSVILLE","false",6250,11741,175707265
"42455","STANDARD","SEBREE","KY","PRIMARY",37.60,-87.52,"NA-US-KY-SEBREE","false",1388,2620,41956311
"41849","PO BOX","SECO","KY","PRIMARY",37.17,-82.73,"NA-US-KY-SECO","false",,,
"42079","STANDARD","SEDALIA","KY","PRIMARY",36.56,-88.58,"NA-US-KY-SEDALIA","false",604,1149,15032860
"40983","STANDARD","SEXTONS CREEK","KY","PRIMARY",37.31,-83.78,"NA-US-KY-SEXTONS CREEK","false",,,
"40374","STANDARD","SHARPSBURG","KY","PRIMARY",38.20,-83.92,"NA-US-KY-SHARPSBURG","false",675,1280,18007839
"41562","STANDARD","SHELBIANA","KY","PRIMARY",37.42,-82.49,"NA-US-KY-SHELBIANA","false",959,1858,30005442
"40065","STANDARD","SHELBYVILLE","KY","PRIMARY",38.21,-85.23,"NA-US-KY-SHELBYVILLE","false",11797,21637,424535627
"40066","PO BOX","SHELBYVILLE","KY","PRIMARY",38.21,-85.23,"NA-US-KY-SHELBYVILLE","false",375,645,10501814
"40165","STANDARD","SHEPHERDSVILLE","KY","PRIMARY",37.98,-85.71,"NA-US-KY-SHEPHERDSVILLE","false",14506,26863,528157345
"41564","STANDARD","SIDNEY","KY","PRIMARY",37.62,-82.35,"NA-US-KY-SIDNEY","false",411,821,13387818
"40763","STANDARD","SILER","KY","PRIMARY",36.69,-83.96,"NA-US-KY-SILER","false",,,
"40067","STANDARD","SIMPSONVILLE","KY","PRIMARY",38.21,-85.35,"NA-US-KY-SIMPSONVILLE","false",2186,4036,112309196
"42456","STANDARD","SLAUGHTERS","KY","PRIMARY",37.49,-87.50,"NA-US-KY-SLAUGHTERS","false",749,1464,25664897
"41763","STANDARD","SLEMP","KY","PRIMARY",37.07,-83.11,"NA-US-KY-SLEMP","false",,,
"41764","STANDARD","SMILAX","KY","PRIMARY",37.13,-83.28,"NA-US-KY-SMILAX","false",,,
"40068","STANDARD","SMITHFIELD","KY","PRIMARY",38.38,-85.25,"NA-US-KY-SMITHFIELD","false",1050,1973,42721880
"42081","STANDARD","SMITHLAND","KY","PRIMARY",37.13,-88.40,"NA-US-KY-SMITHLAND","false",910,1735,28221626
"42457","PO BOX","SMITH MILLS","KY","PRIMARY",37.80,-87.67,"NA-US-KY-SMITH MILLS","false",,,
"42171","STANDARD","SMITHS GROVE","KY","PRIMARY",37.05,-86.20,"NA-US-KY-SMITHS GROVE","false",2796,5379,86274462
"41173","PO BOX","SOLDIER","KY","PRIMARY",38.27,-83.28,"NA-US-KY-SOLDIER","false",,,
"42501","STANDARD","SOMERSET","KY","PRIMARY",37.08,-84.60,"NA-US-KY-SOMERSET","false",6537,11824,157667838
"42502","PO BOX","SOMERSET","KY","PRIMARY",37.08,-84.60,"NA-US-KY-SOMERSET","false",516,884,14810492
"42503","STANDARD","SOMERSET","KY","PRIMARY",37.08,-84.60,"NA-US-KY-SOMERSET","false",8900,16721,288907448
"42564","PO BOX","WEST SOMERSET","KY","PRIMARY",37.09,-84.64,"NA-US-KY-WEST SOMERSET","false",270,452,6834761
"42776","STANDARD","SONORA","KY","PRIMARY",37.52,-85.89,"NA-US-KY-SONORA","false",1097,2026,31490854
"42374","PO BOX","SOUTH CARROLLTON","KY","PRIMARY",37.33,-87.14,"NA-US-KY-SOUTH CARROLLTON","false",,,
"41174","STANDARD","SOUTH PORTSMOUTH","KY","PRIMARY",38.70,-83.01,"NA-US-KY-SOUTH PORTSMOUTH","false",380,733,11769032
"41175","STANDARD","SOUTH SHORE","KY","PRIMARY",38.72,-82.96,"NA-US-KY-SOUTH SHORE","false",2164,4249,71876820
"42458","STANDARD","SPOTTSVILLE","KY","PRIMARY",37.82,-87.42,"NA-US-KY-SPOTTSVILLE","false",443,854,14678183
"40069","STANDARD","SPRINGFIELD","KY","PRIMARY",37.68,-85.22,"NA-US-KY-SPRINGFIELD","false",3584,6588,108840606
"41256","STANDARD","STAFFORDSVILLE","KY","PRIMARY",37.83,-82.84,"NA-US-KY-STAFFORDSVILLE","false",867,1744,33145342
"40379","STANDARD","STAMPING GROUND","KY","PRIMARY",38.27,-84.68,"NA-US-KY-STAMPING GROUND","false",1488,2860,56370286
"40484","STANDARD","STANFORD","KY","PRIMARY",37.53,-84.66,"NA-US-KY-STANFORD","false",5017,9399,142885023
"40380","STANDARD","STANTON","KY","PRIMARY",37.84,-83.85,"NA-US-KY-STANTON","false",2776,5219,74743624
"41659","STANDARD","STANVILLE","KY","PRIMARY",37.58,-82.67,"NA-US-KY-STANVILLE","false",284,541,11113959
"42647","STANDARD","STEARNS","KY","PRIMARY",36.69,-84.47,"NA-US-KY-STEARNS","false",1251,2443,26733065
"41566","STANDARD","STEELE","KY","PRIMARY",37.97,-82.18,"NA-US-KY-STEELE","false",,,
"40170","STANDARD","STEPHENSPORT","KY","PRIMARY",37.91,-86.53,"NA-US-KY-STEPHENSPORT","false",,,
"40868","STANDARD","STINNETT","KY","PRIMARY",37.09,-83.39,"NA-US-KY-STINNETT","false",314,629,9706332
"40988","STANDARD","STONEY FORK","KY","PRIMARY",36.88,-83.52,"NA-US-KY-STONEY FORK","false",,,
"41568","STANDARD","STOPOVER","KY","PRIMARY",37.52,-82.03,"NA-US-KY-STOPOVER","false",,,
"42649","STANDARD","STRUNK","KY","PRIMARY",36.62,-84.43,"NA-US-KY-STRUNK","false",425,853,10067358
"42459","STANDARD","STURGIS","KY","PRIMARY",37.54,-87.98,"NA-US-KY-STURGIS","false",1858,3467,57063173
"42460","PO BOX","SULLIVAN","KY","PRIMARY",37.49,-87.94,"NA-US-KY-SULLIVAN","false",,,
"40070","STANDARD","SULPHUR","KY","PRIMARY",38.48,-85.26,"NA-US-KY-SULPHUR","false",,,
"42124","STANDARD","BEAUMONT","KY","PRIMARY",36.86,-85.63,"NA-US-KY-BEAUMONT","false",,,
"42130","STANDARD","EIGHTY EIGHT","KY","PRIMARY",36.91,-85.76,"NA-US-KY-EIGHTY EIGHT","false",,,
"42166","STANDARD","SUMMER SHADE","KY","PRIMARY",36.88,-85.70,"NA-US-KY-SUMMER SHADE","false",946,1786,22410187
"42782","STANDARD","SUMMERSVILLE","KY","PRIMARY",37.31,-85.61,"NA-US-KY-SUMMERSVILLE","false",423,809,9508576
"42285","STANDARD","SWEEDEN","KY","PRIMARY",37.25,-86.28,"NA-US-KY-SWEEDEN","false",,,
"42082","STANDARD","SYMSONIA","KY","PRIMARY",36.90,-88.51,"NA-US-KY-SYMSONIA","false",804,1549,26470480
"42558","PO BOX","TATEVILLE","KY","PRIMARY",36.96,-84.58,"NA-US-KY-TATEVILLE","false",,,
"40071","STANDARD","TAYLORSVILLE","KY","PRIMARY",38.03,-85.34,"NA-US-KY-TAYLORSVILLE","false",6156,11786,252745047
"41660","STANDARD","TEABERRY","KY","PRIMARY",37.42,-82.64,"NA-US-KY-TEABERRY","false",,,
"41260","STANDARD","THELMA","KY","PRIMARY",37.81,-82.76,"NA-US-KY-THELMA","false",251,490,7319849
"42083","STANDARD","TILINE","KY","PRIMARY",37.16,-88.25,"NA-US-KY-TILINE","false",,,
"41189","STANDARD","TOLLESBORO","KY","PRIMARY",38.57,-83.57,"NA-US-KY-TOLLESBORO","false",951,1843,26162052
"42084","PO BOX","TOLU","KY","PRIMARY",37.43,-88.24,"NA-US-KY-TOLU","false",,,
"41262","STANDARD","TOMAHAWK","KY","PRIMARY",37.87,-82.59,"NA-US-KY-TOMAHAWK","false",363,736,9511983
"42151","STANDARD","HESTAND","KY","PRIMARY",36.65,-85.61,"NA-US-KY-HESTAND","false",,,
"42167","STANDARD","TOMPKINSVILLE","KY","PRIMARY",36.70,-85.69,"NA-US-KY-TOMPKINSVILLE","false",3242,6134,79142472
"41862","STANDARD","TOPMOST","KY","PRIMARY",37.36,-82.78,"NA-US-KY-TOPMOST","false",295,581,9380638
"40870","STANDARD","TOTZ","KY","PRIMARY",36.94,-83.11,"NA-US-KY-TOTZ","false",,,
"41663","STANDARD","TRAM","KY","PRIMARY",37.58,-82.63,"NA-US-KY-TRAM","false",,,
"42286","STANDARD","TRENTON","KY","PRIMARY",36.72,-87.26,"NA-US-KY-TRENTON","false",599,1140,14705052
"40995","STANDARD","TROSPER","KY","PRIMARY",36.78,-83.81,"NA-US-KY-TROSPER","false",,,
"41263","STANDARD","TUTOR KEY","KY","PRIMARY",37.84,-82.76,"NA-US-KY-TUTOR KEY","false",,,
"40486","STANDARD","TYNER","KY","PRIMARY",37.34,-83.90,"NA-US-KY-TYNER","false",773,1545,18666938
"41264","STANDARD","ULYSSES","KY","PRIMARY",38.00,-82.71,"NA-US-KY-ULYSSES","false",,,
"42461","STANDARD","UNIONTOWN","KY","PRIMARY",37.77,-87.93,"NA-US-KY-UNIONTOWN","false",701,1253,19781179
"42784","STANDARD","UPTON","KY","PRIMARY",37.46,-85.89,"NA-US-KY-UPTON","false",1142,2123,28743404
"42376","STANDARD","UTICA","KY","PRIMARY",37.61,-87.07,"NA-US-KY-UTICA","false",2495,4736,87447123
"41135","STANDARD","EMERSON","KY","PRIMARY",38.38,-83.26,"NA-US-KY-EMERSON","false",,,
"41179","STANDARD","VANCEBURG","KY","PRIMARY",38.59,-83.32,"NA-US-KY-VANCEBURG","false",2679,5255,68472298
"41385","STANDARD","VANCLEVE","KY","PRIMARY",37.62,-83.41,"NA-US-KY-VANCLEVE","false",290,584,6800527
"41265","STANDARD","VAN LEAR","KY","PRIMARY",37.76,-82.75,"NA-US-KY-VAN LEAR","false",569,1116,18343046
"40383","STANDARD","VERSAILLES","KY","PRIMARY",38.05,-84.72,"NA-US-KY-VERSAILLES","false",10528,19344,423041217
"40384","UNIQUE","VERSAILLES","KY","PRIMARY",38.05,-84.72,"NA-US-KY-VERSAILLES","false",,,
"41772","STANDARD","VEST","KY","PRIMARY",37.39,-83.00,"NA-US-KY-VEST","false",,,
"41760","STANDARD","SCUDDY","KY","PRIMARY",37.21,-83.09,"NA-US-KY-SCUDDY","false",,,
"41773","STANDARD","VICCO","KY","PRIMARY",37.21,-83.06,"NA-US-KY-VICCO","false",521,1027,14750784
"41386","STANDARD","VINCENT","KY","PRIMARY",37.46,-83.77,"NA-US-KY-VINCENT","false",,,
"40175","STANDARD","VINE GROVE","KY","PRIMARY",37.81,-85.97,"NA-US-KY-VINE GROVE","false",5645,10700,187414483
"41572","STANDARD","VIRGIE","KY","PRIMARY",37.33,-82.57,"NA-US-KY-VIRGIE","false",1188,2354,38074228
"40385","STANDARD","WACO","KY","PRIMARY",37.73,-84.15,"NA-US-KY-WACO","false",1325,2533,39447889
"40076","STANDARD","WADDY","KY","PRIMARY",38.13,-85.06,"NA-US-KY-WADDY","false",1179,2174,39997800
"40873","STANDARD","WALLINS CREEK","KY","PRIMARY",36.82,-83.41,"NA-US-KY-WALLINS CREEK","false",705,1377,19745513
"40874","STANDARD","WARBRANCH","KY","PRIMARY",36.97,-83.44,"NA-US-KY-WARBRANCH","false",,,
"41267","STANDARD","WARFIELD","KY","PRIMARY",37.83,-82.42,"NA-US-KY-WARFIELD","false",298,581,7181652
"42085","STANDARD","WATER VALLEY","KY","PRIMARY",36.56,-88.81,"NA-US-KY-WATER VALLEY","false",380,715,10308834
"42462","STANDARD","WAVERLY","KY","PRIMARY",37.70,-87.81,"NA-US-KY-WAVERLY","false",600,1123,19658091
"41666","STANDARD","WAYLAND","KY","PRIMARY",37.44,-82.80,"NA-US-KY-WAYLAND","false",282,553,8437291
"40489","STANDARD","WAYNESBURG","KY","PRIMARY",37.33,-84.68,"NA-US-KY-WAYNESBURG","false",1508,2888,36758172
"41180","STANDARD","WEBBVILLE","KY","PRIMARY",38.15,-82.79,"NA-US-KY-WEBBVILLE","false",342,688,10017902
"40176","STANDARD","WEBSTER","KY","PRIMARY",37.88,-86.33,"NA-US-KY-WEBSTER","false",482,914,14241964
"41667","STANDARD","WEEKSBURY","KY","PRIMARY",37.32,-82.71,"NA-US-KY-WEEKSBURY","false",,,
"40387","STANDARD","WELLINGTON","KY","PRIMARY",37.91,-83.50,"NA-US-KY-WELLINGTON","false",681,1311,15646552
"41775","STANDARD","WENDOVER","KY","PRIMARY",37.12,-83.36,"NA-US-KY-WENDOVER","false",,,
"41421","STANDARD","ELKFORK","KY","PRIMARY",37.96,-83.13,"NA-US-KY-ELKFORK","false",,,
"41472","STANDARD","WEST LIBERTY","KY","PRIMARY",37.91,-83.26,"NA-US-KY-WEST LIBERTY","false",3246,6373,94157268
"41477","PO BOX","WRIGLEY","KY","PRIMARY",38.01,-83.27,"NA-US-KY-WRIGLEY","false",,,
"42377","PO BOX","WEST LOUISVILLE","KY","PRIMARY",37.73,-87.23,"NA-US-KY-WEST LOUISVILLE","false",,,
"42086","STANDARD","WEST PADUCAH","KY","PRIMARY",37.11,-88.77,"NA-US-KY-WEST PADUCAH","false",1863,3509,69783114
"40177","STANDARD","WEST POINT","KY","PRIMARY",37.98,-85.95,"NA-US-KY-WEST POINT","false",650,1143,17664158
"40077","STANDARD","WESTPORT","KY","PRIMARY",38.48,-85.46,"NA-US-KY-WESTPORT","false",292,534,10575946
"41268","PO BOX","WEST VAN LEAR","KY","PRIMARY",37.78,-82.77,"NA-US-KY-WEST VAN LEAR","false",250,486,7492882
"42463","PO BOX","WHEATCROFT","KY","PRIMARY",37.48,-87.86,"NA-US-KY-WHEATCROFT","false",,,
"41669","STANDARD","WHEELWRIGHT","KY","PRIMARY",37.33,-82.72,"NA-US-KY-WHEELWRIGHT","false",,,
"42788","STANDARD","WHITE MILLS","KY","PRIMARY",37.55,-86.03,"NA-US-KY-WHITE MILLS","false",,,
"42464","STANDARD","WHITE PLAINS","KY","PRIMARY",37.18,-87.38,"NA-US-KY-WHITE PLAINS","false",728,1433,21907471
"41833","STANDARD","LINEFORK","KY","PRIMARY",37.02,-82.95,"NA-US-KY-LINEFORK","false",,,
"41858","STANDARD","WHITESBURG","KY","PRIMARY",37.11,-82.82,"NA-US-KY-WHITESBURG","false",2523,4789,89721242
"42378","STANDARD","WHITESVILLE","KY","PRIMARY",37.68,-86.86,"NA-US-KY-WHITESVILLE","false",1411,2680,46733929
"42653","STANDARD","WHITLEY CITY","KY","PRIMARY",36.72,-84.47,"NA-US-KY-WHITLEY CITY","false",1505,2926,33968693
"42087","STANDARD","WICKLIFFE","KY","PRIMARY",36.96,-89.08,"NA-US-KY-WICKLIFFE","false",965,1811,31779373
"40492","PO BOX","WILDIE","KY","PRIMARY",37.42,-84.30,"NA-US-KY-WILDIE","false",,,
"41181","PO BOX","WILLARD","KY","PRIMARY",38.24,-82.85,"NA-US-KY-WILLARD","false",,,
"40769","STANDARD","WILLIAMSBURG","KY","PRIMARY",36.73,-84.16,"NA-US-KY-WILLIAMSBURG","false",6114,11540,147876209
"41271","STANDARD","WILLIAMSPORT","KY","PRIMARY",37.82,-82.72,"NA-US-KY-WILLIAMSPORT","false",,,
"40078","STANDARD","WILLISBURG","KY","PRIMARY",37.81,-85.12,"NA-US-KY-WILLISBURG","false",894,1678,26102717
"40390","STANDARD","WILMORE","KY","PRIMARY",37.86,-84.65,"NA-US-KY-WILMORE","false",2483,4629,72942488
"40391","STANDARD","WINCHESTER","KY","PRIMARY",37.99,-84.18,"NA-US-KY-WINCHESTER","false",15207,27600,507522029
"40392","PO BOX","WINCHESTER","KY","PRIMARY",37.99,-84.18,"NA-US-KY-WINCHESTER","false",464,782,15041365
"42565","STANDARD","WINDSOR","KY","PRIMARY",37.13,-84.91,"NA-US-KY-WINDSOR","false",,,
"42088","STANDARD","WINGO","KY","PRIMARY",36.64,-88.73,"NA-US-KY-WINGO","false",1151,2197,32209946
"41255","STANDARD","SITKA","KY","PRIMARY",37.88,-82.84,"NA-US-KY-SITKA","false",348,706,9354795
"41274","STANDARD","WITTENSVILLE","KY","PRIMARY",37.86,-82.79,"NA-US-KY-WITTENSVILLE","false",340,677,10271599
"40771","STANDARD","WOODBINE","KY","PRIMARY",36.90,-84.08,"NA-US-KY-WOODBINE","false",615,1160,11736119
"42170","STANDARD","WOODBURN","KY","PRIMARY",36.84,-86.52,"NA-US-KY-WOODBURN","false",653,1254,21510035
"42288","PO BOX","WOODBURY","KY","PRIMARY",37.18,-86.63,"NA-US-KY-WOODBURY","false",,,
"41776","STANDARD","WOOTON","KY","PRIMARY",37.17,-83.30,"NA-US-KY-WOOTON","false",677,1316,21984068
"41183","STANDARD","WORTHINGTON","KY","PRIMARY",38.55,-82.73,"NA-US-KY-WORTHINGTON","false",724,1368,23088847
"41777","STANDARD","YEADDISS","KY","PRIMARY",37.07,-83.21,"NA-US-KY-YEADDISS","false",,,
"41778","PO BOX","YERKES","KY","PRIMARY",37.26,-83.32,"NA-US-KY-YERKES","false",,,
"42566","STANDARD","YOSEMITE","KY","PRIMARY",37.35,-84.83,"NA-US-KY-YOSEMITE","false",268,503,5556935
"41397","STANDARD","ZOE","KY","PRIMARY",37.68,-83.68,"NA-US-KY-ZOE","false",,,
"38257","STANDARD","SOUTH FULTON","TN","PRIMARY",36.49,-88.88,"NA-US-TN-SOUTH FULTON","false",2066,3778,63816233
