"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"05040","STANDARD","EAST CORINTH","VT","PRIMARY",44.09,-72.22,"NA-US-VT-EAST CORINTH","false",288,506,7540335
"05076","STANDARD","TOPSHAM","VT","PRIMARY",44.09,-72.22,"NA-US-VT-TOPSHAM","false",,,
"05253","STANDARD","EAST DORSET","VT","PRIMARY",43.24,-72.99,"NA-US-VT-EAST DORSET","false",342,559,10825038
"05341","STANDARD","EAST DOVER","VT","PRIMARY",42.96,-72.78,"NA-US-VT-EAST DOVER","false",,,
"05448","STANDARD","EAST FAIRFIELD","VT","PRIMARY",44.80,-72.91,"NA-US-VT-EAST FAIRFIELD","false",528,962,20176185
"05836","STANDARD","EAST HARDWICK","VT","PRIMARY",44.52,-72.30,"NA-US-VT-EAST HARDWICK","false",486,880,13556320
"05837","STANDARD","EAST HAVEN","VT","PRIMARY",44.67,-71.90,"NA-US-VT-EAST HAVEN","false",,,
"05740","PO BOX","EAST MIDDLEBURY","VT","PRIMARY",43.98,-73.08,"NA-US-VT-EAST MIDDLEBURY","false",537,845,14742896
"05766","STANDARD","RIPTON","VT","PRIMARY",44.00,-73.15,"NA-US-VT-RIPTON","false",,,
"05651","STANDARD","EAST MONTPELIER","VT","PRIMARY",44.28,-72.49,"NA-US-VT-EAST MONTPELIER","false",847,1465,31441828
"05666","STANDARD","NORTH MONTPELIER","VT","PRIMARY",44.25,-72.48,"NA-US-VT-NORTH MONTPELIER","false",,,
"05041","STANDARD","EAST RANDOLPH","VT","PRIMARY",43.93,-72.55,"NA-US-VT-EAST RANDOLPH","false",,,
"05042","STANDARD","EAST RYEGATE","VT","PRIMARY",44.19,-72.07,"NA-US-VT-EAST RYEGATE","false",294,510,7462768
"05838","PO BOX","EAST SAINT JOHNSBURY","VT","PRIMARY",44.44,-71.95,"NA-US-VT-EAST SAINT JOHNSBURY","false",,,
"05043","STANDARD","EAST THETFORD","VT","PRIMARY",43.81,-72.19,"NA-US-VT-EAST THETFORD","false",445,769,18191482
"05742","STANDARD","EAST WALLINGFORD","VT","PRIMARY",43.43,-72.87,"NA-US-VT-EAST WALLINGFORD","false",,,
"05652","STANDARD","EDEN","VT","PRIMARY",44.70,-72.55,"NA-US-VT-EDEN","false",402,651,10296049
"05653","STANDARD","EDEN MILLS","VT","PRIMARY",44.69,-72.48,"NA-US-VT-EDEN MILLS","false",,,
"05447","STANDARD","EAST BERKSHIRE","VT","PRIMARY",44.92,-72.70,"NA-US-VT-EAST BERKSHIRE","false",,,
"05450","STANDARD","ENOSBURG FALLS","VT","PRIMARY",44.90,-72.80,"NA-US-VT-ENOSBURG FALLS","false",2348,4192,76482437
"05451","PO BOX","ESSEX","VT","PRIMARY",44.52,-73.05,"NA-US-VT-ESSEX","false",292,445,9202805
"05452","STANDARD","ESSEX JUNCTION","VT","PRIMARY",44.49,-73.11,"NA-US-VT-ESSEX JUNCTION","false",10210,17705,485900089
"05453","PO BOX","ESSEX JUNCTION","VT","PRIMARY",44.49,-73.11,"NA-US-VT-ESSEX JUNCTION","false",314,435,8643126
"05454","STANDARD","FAIRFAX","VT","PRIMARY",44.67,-73.02,"NA-US-VT-FAIRFAX","false",2256,4130,98404572
"05455","STANDARD","FAIRFIELD","VT","PRIMARY",44.80,-72.95,"NA-US-VT-FAIRFIELD","false",567,1037,21190691
"05731","PO BOX","BENSON","VT","PRIMARY",43.72,-73.32,"NA-US-VT-BENSON","false",,,
"05743","STANDARD","FAIR HAVEN","VT","PRIMARY",43.59,-73.27,"NA-US-VT-FAIR HAVEN","false",2065,3514,59817239
"05045","STANDARD","FAIRLEE","VT","PRIMARY",43.91,-72.19,"NA-US-VT-FAIRLEE","false",770,1270,23721148
"05456","STANDARD","FERRISBURGH","VT","PRIMARY",44.20,-73.25,"NA-US-VT-FERRISBURGH","false",617,1108,23404652
"05744","STANDARD","FLORENCE","VT","PRIMARY",43.70,-73.08,"NA-US-VT-FLORENCE","false",302,507,10497935
"05745","PO BOX","FOREST DALE","VT","PRIMARY",43.82,-73.05,"NA-US-VT-FOREST DALE","false",,,
"05457","STANDARD","FRANKLIN","VT","PRIMARY",44.98,-72.92,"NA-US-VT-FRANKLIN","false",743,1336,25387501
"05746","PO BOX","GAYSVILLE","VT","PRIMARY",43.73,-72.74,"NA-US-VT-GAYSVILLE","false",,,
"05904","STANDARD","GILMAN","VT","PRIMARY",44.41,-71.71,"NA-US-VT-GILMAN","false",,,
"05146","STANDARD","GRAFTON","VT","PRIMARY",43.16,-72.61,"NA-US-VT-GRAFTON","false",283,516,8770735
"05458","STANDARD","GRAND ISLE","VT","PRIMARY",44.72,-73.30,"NA-US-VT-GRAND ISLE","false",1096,1905,44920019
"05654","STANDARD","GRANITEVILLE","VT","PRIMARY",44.15,-72.47,"NA-US-VT-GRANITEVILLE","false",612,1050,18873922
"05747","STANDARD","GRANVILLE","VT","PRIMARY",43.98,-72.85,"NA-US-VT-GRANVILLE","false",,,
"05841","STANDARD","GREENSBORO","VT","PRIMARY",44.58,-72.28,"NA-US-VT-GREENSBORO","false",,,
"05842","STANDARD","GREENSBORO BEND","VT","PRIMARY",44.54,-72.21,"NA-US-VT-GREENSBORO BEND","false",286,498,5854515
"05046","STANDARD","GROTON","VT","PRIMARY",44.22,-72.20,"NA-US-VT-GROTON","false",591,1054,16710216
"05905","STANDARD","GUILDHALL","VT","PRIMARY",44.56,-71.56,"NA-US-VT-GUILDHALL","false",325,584,9251932
"05748","STANDARD","HANCOCK","VT","PRIMARY",43.93,-72.83,"NA-US-VT-HANCOCK","false",,,
"05843","STANDARD","HARDWICK","VT","PRIMARY",44.50,-72.37,"NA-US-VT-HARDWICK","false",1330,2254,33513473
"05047","PO BOX","HARTFORD","VT","PRIMARY",43.65,-72.32,"NA-US-VT-HARTFORD","false",445,698,14200608
"05048","STANDARD","HARTLAND","VT","PRIMARY",43.55,-72.40,"NA-US-VT-HARTLAND","false",1249,2161,44918131
"05049","PO BOX","HARTLAND FOUR CORNERS","VT","PRIMARY",43.54,-72.42,"NA-US-VT-HARTLAND FOUR CORNERS","false",,,
"05459","STANDARD","HIGHGATE CENTER","VT","PRIMARY",44.95,-72.99,"NA-US-VT-HIGHGATE CENTER","false",972,1704,30703907
"05460","PO BOX","HIGHGATE SPRINGS","VT","PRIMARY",44.97,-73.10,"NA-US-VT-HIGHGATE SPRINGS","false",,,
"05461","STANDARD","HINESBURG","VT","PRIMARY",44.33,-73.12,"NA-US-VT-HINESBURG","false",2438,4309,111219381
"05462","STANDARD","HUNTINGTON","VT","PRIMARY",44.33,-72.98,"NA-US-VT-HUNTINGTON","false",958,1733,41923754
"05655","STANDARD","HYDE PARK","VT","PRIMARY",44.59,-72.61,"NA-US-VT-HYDE PARK","false",1445,2465,44175151
"05750","PO BOX","HYDEVILLE","VT","PRIMARY",43.60,-73.21,"NA-US-VT-HYDEVILLE","false",,,
"05845","STANDARD","IRASBURG","VT","PRIMARY",44.81,-72.28,"NA-US-VT-IRASBURG","false",581,1030,14120157
"05846","STANDARD","ISLAND POND","VT","PRIMARY",44.81,-71.88,"NA-US-VT-ISLAND POND","false",636,1053,13151508
"05463","STANDARD","ISLE LA MOTTE","VT","PRIMARY",44.87,-73.33,"NA-US-VT-ISLE LA MOTTE","false",263,452,7914593
"05342","STANDARD","JACKSONVILLE","VT","PRIMARY",42.79,-72.82,"NA-US-VT-JACKSONVILLE","false",334,572,9456148
"05343","STANDARD","JAMAICA","VT","PRIMARY",43.10,-72.80,"NA-US-VT-JAMAICA","false",416,697,10821319
"05464","STANDARD","JEFFERSONVILLE","VT","PRIMARY",44.64,-72.82,"NA-US-VT-JEFFERSONVILLE","false",1420,2441,50129879
"05465","STANDARD","JERICHO","VT","PRIMARY",44.50,-72.98,"NA-US-VT-JERICHO","false",2757,5143,146965811
"05656","STANDARD","JOHNSON","VT","PRIMARY",44.63,-72.67,"NA-US-VT-JOHNSON","false",1426,2331,37687747
"05466","PO BOX","JONESVILLE","VT","PRIMARY",44.39,-72.99,"NA-US-VT-JONESVILLE","false",,,
"05751","STANDARD","KILLINGTON","VT","PRIMARY",43.67,-72.77,"NA-US-VT-KILLINGTON","false",794,1157,22831834
"05148","STANDARD","LONDONDERRY","VT","PRIMARY",43.22,-72.80,"NA-US-VT-LONDONDERRY","false",710,1210,19328698
"05847","STANDARD","LOWELL","VT","PRIMARY",44.80,-72.45,"NA-US-VT-LOWELL","false",352,636,8360196
"05848","PO BOX","LOWER WATERFORD","VT","PRIMARY",44.35,-71.92,"NA-US-VT-LOWER WATERFORD","false",,,
"05149","STANDARD","LUDLOW","VT","PRIMARY",43.39,-72.69,"NA-US-VT-LUDLOW","false",1355,2103,36452539
"05906","STANDARD","LUNENBURG","VT","PRIMARY",44.47,-71.68,"NA-US-VT-LUNENBURG","false",577,1005,13979031
"05849","PO BOX","LYNDON","VT","PRIMARY",44.50,-71.97,"NA-US-VT-LYNDON","false",,,
"05850","STANDARD","LYNDON CENTER","VT","PRIMARY",44.55,-72.04,"NA-US-VT-LYNDON CENTER","false",341,575,10774036
"05851","STANDARD","LYNDONVILLE","VT","PRIMARY",44.53,-72.00,"NA-US-VT-LYNDONVILLE","false",2697,4536,77003149
"05050","PO BOX","MC INDOE FALLS","VT","PRIMARY",44.26,-72.06,"NA-US-VT-MC INDOE FALLS","false",,,
"05254","PO BOX","MANCHESTER","VT","PRIMARY",43.16,-73.07,"NA-US-VT-MANCHESTER","false",499,845,19826468
"05255","STANDARD","MANCHESTER CENTER","VT","PRIMARY",43.17,-73.04,"NA-US-VT-MANCHESTER CENTER","false",2284,3743,71214461
"05344","PO BOX","MARLBORO","VT","PRIMARY",42.86,-72.72,"NA-US-VT-MARLBORO","false",264,431,7718256
"05658","STANDARD","MARSHFIELD","VT","PRIMARY",44.35,-72.35,"NA-US-VT-MARSHFIELD","false",697,1228,19008014
"05753","STANDARD","MIDDLEBURY","VT","PRIMARY",44.00,-73.15,"NA-US-VT-MIDDLEBURY","false",4236,6966,152709415
"05757","STANDARD","MIDDLETOWN SPRINGS","VT","PRIMARY",43.48,-73.12,"NA-US-VT-MIDDLETOWN SPRINGS","false",450,782,13590729
"05468","STANDARD","MILTON","VT","PRIMARY",44.63,-73.11,"NA-US-VT-MILTON","false",6710,11914,277076898
