"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"17069","PO BOX","NEW BUFFALO","PA","PRIMARY",40.45,-76.97,"NA-US-PA-NEW BUFFALO","false",,,
"17240","STANDARD","NEWBURG","PA","PRIMARY",40.13,-77.55,"NA-US-PA-NEWBURG","false",1543,2880,47589961
"17070","STANDARD","NEW CUMBERLAND","PA","PRIMARY",40.23,-76.87,"NA-US-PA-NEW CUMBERLAND","false",8811,14615,333541869
"18445","STANDARD","NEWFOUNDLAND","PA","PRIMARY",41.30,-75.32,"NA-US-PA-NEWFOUNDLAND","false",1076,1878,30849273
"17349","STANDARD","NEW FREEDOM","PA","PRIMARY",39.73,-76.69,"NA-US-PA-NEW FREEDOM","false",3989,7362,212407228
"17071","PO BOX","NEW GERMANTOWN","PA","PRIMARY",40.27,-77.59,"NA-US-PA-NEW GERMANTOWN","false",,,
"17557","STANDARD","NEW HOLLAND","PA","PRIMARY",40.10,-76.09,"NA-US-PA-NEW HOLLAND","false",6726,11650,186363856
"17072","PO BOX","NEW KINGSTOWN","PA","PRIMARY",40.23,-77.02,"NA-US-PA-NEW KINGSTOWN","false",,,
"17073","STANDARD","NEWMANSTOWN","PA","PRIMARY",40.35,-76.21,"NA-US-PA-NEWMANSTOWN","false",2441,4480,83778021
"18834","STANDARD","NEW MILFORD","PA","PRIMARY",41.87,-75.72,"NA-US-PA-NEW MILFORD","false",1666,2905,45043354
"17350","STANDARD","NEW OXFORD","PA","PRIMARY",39.86,-77.05,"NA-US-PA-NEW OXFORD","false",6359,11002,208533950
"17352","STANDARD","NEW PARK","PA","PRIMARY",39.76,-76.50,"NA-US-PA-NEW PARK","false",631,1176,25874480
"17959","STANDARD","NEW PHILADELPHIA","PA","PRIMARY",40.71,-76.11,"NA-US-PA-NEW PHILADELPHIA","false",709,1178,20604131
"17074","STANDARD","NEWPORT","PA","PRIMARY",40.47,-77.13,"NA-US-PA-NEWPORT","false",3641,6280,115427473
"17560","STANDARD","NEW PROVIDENCE","PA","PRIMARY",39.90,-76.23,"NA-US-PA-NEW PROVIDENCE","false",2416,4249,77424457
"17960","STANDARD","NEW RINGGOLD","PA","PRIMARY",40.68,-75.99,"NA-US-PA-NEW RINGGOLD","false",1939,3493,69095557
"17075","PO BOX","NEWTON HAMILTON","PA","PRIMARY",40.39,-77.83,"NA-US-PA-NEWTON HAMILTON","false",,,
"18066","STANDARD","NEW TRIPOLI","PA","PRIMARY",40.65,-75.74,"NA-US-PA-NEW TRIPOLI","false",3043,5517,141796238
"17241","STANDARD","NEWVILLE","PA","PRIMARY",40.17,-77.40,"NA-US-PA-NEWVILLE","false",5956,10546,190520570
"18441","STANDARD","LENOXVILLE","PA","PRIMARY",41.66,-75.63,"NA-US-PA-LENOXVILLE","false",,,
"18446","STANDARD","NICHOLSON","PA","PRIMARY",41.62,-75.78,"NA-US-PA-NICHOLSON","false",1783,3133,49675618
