"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"95664","STANDARD","PILOT HILL","CA","PRIMARY",38.80,-121.04,"NA-US-CA-PILOT HILL","false",607,1113,29065664
"95364","STANDARD","PINECREST","CA","PRIMARY",38.28,-119.82,"NA-US-CA-PINECREST","false",,,
"95375","PO BOX","STRAWBERRY","CA","PRIMARY",38.19,-120.01,"NA-US-CA-STRAWBERRY","false",,,
"95665","STANDARD","PINE GROVE","CA","PRIMARY",38.38,-120.64,"NA-US-CA-PINE GROVE","false",2142,3764,67622719
"95644","PO BOX","KIT CARSON","CA","PRIMARY",38.45,-120.52,"NA-US-CA-KIT CARSON","false",,,
"95646","PO BOX","KIRKWOOD","CA","PRIMARY",38.69,-120.05,"NA-US-CA-KIRKWOOD","false",,,
"95666","STANDARD","PIONEER","CA","PRIMARY",38.56,-120.17,"NA-US-CA-PIONEER","false",2400,4179,65818845
"95667","STANDARD","PLACERVILLE","CA","PRIMARY",38.73,-120.80,"NA-US-CA-PLACERVILLE","false",15894,28139,625482458
"95365","STANDARD","PLANADA","CA","PRIMARY",37.32,-120.30,"NA-US-CA-PLANADA","false",1860,3801,40854984
"96076","STANDARD","PLATINA","CA","PRIMARY",40.38,-122.91,"NA-US-CA-PLATINA","false",,,
"95668","STANDARD","PLEASANT GROVE","CA","PRIMARY",38.83,-121.50,"NA-US-CA-PLEASANT GROVE","false",379,687,12655220
"95669","STANDARD","PLYMOUTH","CA","PRIMARY",38.46,-120.88,"NA-US-CA-PLYMOUTH","false",1167,2065,40463457
"95726","STANDARD","POLLOCK PINES","CA","PRIMARY",38.74,-120.57,"NA-US-CA-POLLOCK PINES","false",3865,6965,141222561
"93651","STANDARD","PRATHER","CA","PRIMARY",37.00,-119.50,"NA-US-CA-PRATHER","false",891,1657,38519441
"95970","STANDARD","PRINCETON","CA","PRIMARY",39.41,-122.04,"NA-US-CA-PRINCETON","false",,,
"96078","PO BOX","PROBERTA","CA","PRIMARY",40.08,-122.17,"NA-US-CA-PROBERTA","false",,,
"95971","STANDARD","QUINCY","CA","PRIMARY",39.96,-121.00,"NA-US-CA-QUINCY","false",2860,4865,87446279
"95972","STANDARD","RACKERBY","CA","PRIMARY",39.45,-121.31,"NA-US-CA-RACKERBY","false",,,
"95248","PO BOX","RAIL ROAD FLAT","CA","PRIMARY",38.31,-120.51,"NA-US-CA-RAIL ROAD FLAT","false",,,
"93652","STANDARD","RAISIN CITY","CA","PRIMARY",36.59,-119.90,"NA-US-CA-RAISIN CITY","false",325,664,6754061
"95655","STANDARD","MATHER","CA","PRIMARY",38.54,-121.28,"NA-US-CA-MATHER","false",1650,3200,90438208
"95670","STANDARD","RANCHO CORDOVA","CA","PRIMARY",38.60,-121.26,"NA-US-CA-RANCHO CORDOVA","false",23367,40655,911069774
"95741","PO BOX","RANCHO CORDOVA","CA","PRIMARY",38.58,-121.30,"NA-US-CA-RANCHO CORDOVA","false",883,1400,32340519
"95742","STANDARD","RANCHO CORDOVA","CA","PRIMARY",38.57,-121.17,"NA-US-CA-RANCHO CORDOVA","false",3413,6511,228778705
"93653","STANDARD","RAYMOND","CA","PRIMARY",37.25,-119.96,"NA-US-CA-RAYMOND","false",447,802,15102674
"96075","STANDARD","PAYNES CREEK","CA","PRIMARY",40.35,-121.86,"NA-US-CA-PAYNES CREEK","false",,,
"96080","STANDARD","RED BLUFF","CA","PRIMARY",40.13,-122.43,"NA-US-CA-RED BLUFF","false",11729,21073,338730317
"96001","STANDARD","REDDING","CA","PRIMARY",40.60,-122.46,"NA-US-CA-REDDING","false",13491,23744,469950362
"96002","STANDARD","REDDING","CA","PRIMARY",40.52,-122.32,"NA-US-CA-REDDING","false",13244,23604,391494130
"96003","STANDARD","REDDING","CA","PRIMARY",40.68,-122.25,"NA-US-CA-REDDING","false",17737,30950,552655890
"96049","PO BOX","REDDING","CA","PRIMARY",40.56,-122.29,"NA-US-CA-REDDING","false",1324,2172,39128730
"96099","PO BOX","REDDING","CA","PRIMARY",40.64,-122.50,"NA-US-CA-REDDING","false",1328,2141,48062485
"93654","STANDARD","REEDLEY","CA","PRIMARY",36.65,-119.40,"NA-US-CA-REEDLEY","false",11351,22515,334685237
"95672","STANDARD","RESCUE","CA","PRIMARY",38.72,-121.00,"NA-US-CA-RESCUE","false",2107,4022,115273050
"95974","PO BOX","RICHVALE","CA","PRIMARY",39.48,-121.73,"NA-US-CA-RICHVALE","false",,,
"95673","STANDARD","RIO LINDA","CA","PRIMARY",38.68,-121.45,"NA-US-CA-RIO LINDA","false",6338,11504,214030773
"95674","STANDARD","RIO OSO","CA","PRIMARY",38.95,-121.49,"NA-US-CA-RIO OSO","false",404,734,13354501
"95366","STANDARD","RIPON","CA","PRIMARY",37.75,-121.12,"NA-US-CA-RIPON","false",7101,13598,358572237
"95367","STANDARD","RIVERBANK","CA","PRIMARY",37.73,-120.95,"NA-US-CA-RIVERBANK","false",9078,17864,348987321
"93607","PO BOX","BURREL","CA","PRIMARY",36.48,-119.98,"NA-US-CA-BURREL","false",,,
"93656","STANDARD","RIVERDALE","CA","PRIMARY",36.48,-119.94,"NA-US-CA-RIVERDALE","false",2176,4450,61321587
"95676","PO BOX","ROBBINS","CA","PRIMARY",38.94,-121.74,"NA-US-CA-ROBBINS","false",,,
"95677","STANDARD","ROCKLIN","CA","PRIMARY",38.80,-121.24,"NA-US-CA-ROCKLIN","false",11381,20132,536083455
"95765","STANDARD","ROCKLIN","CA","PRIMARY",38.81,-121.28,"NA-US-CA-ROCKLIN","false",13307,25874,826381522
"95661","STANDARD","ROSEVILLE","CA","PRIMARY",38.74,-121.25,"NA-US-CA-ROSEVILLE","false",13850,24647,723809681
"95678","STANDARD","ROSEVILLE","CA","PRIMARY",38.76,-121.28,"NA-US-CA-ROSEVILLE","false",18680,32889,837901629
"95746","STANDARD","GRANITE BAY","CA","PRIMARY",38.76,-121.16,"NA-US-CA-GRANITE BAY","false",9996,19407,854948703
"95747","STANDARD","ROSEVILLE","CA","PRIMARY",38.78,-121.37,"NA-US-CA-ROSEVILLE","false",22062,41545,1194839583
"95946","STANDARD","PENN VALLEY","CA","PRIMARY",39.18,-121.20,"NA-US-CA-PENN VALLEY","false",4671,8356,141266507
"95975","STANDARD","ROUGH AND READY","CA","PRIMARY",39.22,-121.15,"NA-US-CA-ROUGH AND READY","false",853,1434,24871133
"96084","PO BOX","ROUND MOUNTAIN","CA","PRIMARY",40.92,-122.02,"NA-US-CA-ROUND MOUNTAIN","false",,,
"95680","PO BOX","RYDE","CA","PRIMARY",38.23,-121.55,"NA-US-CA-RYDE","false",,,
"94203","PO BOX","SACRAMENTO","CA","PRIMARY",38.58,-121.49,"NA-US-CA-SACRAMENTO","false",,,
"94204","PO BOX","SACRAMENTO","CA","PRIMARY",38.60,-121.44,"NA-US-CA-SACRAMENTO","false",,,
"94205","PO BOX","SACRAMENTO","CA","PRIMARY",38.47,-121.44,"NA-US-CA-SACRAMENTO","false",,,
"94206","PO BOX","SACRAMENTO","CA","PRIMARY",38.49,-121.45,"NA-US-CA-SACRAMENTO","false",,,
"94207","PO BOX","SACRAMENTO","CA","PRIMARY",38.58,-121.49,"NA-US-CA-SACRAMENTO","false",,,
"94208","PO BOX","SACRAMENTO","CA","PRIMARY",38.58,-121.49,"NA-US-CA-SACRAMENTO","false",,,
"94209","PO BOX","SACRAMENTO","CA","PRIMARY",38.58,-121.49,"NA-US-CA-SACRAMENTO","false",,,
"94211","PO BOX","SACRAMENTO","CA","PRIMARY",38.58,-121.49,"NA-US-CA-SACRAMENTO","false",,,
